DoctorNo,DoctorID,RoomNo,FirstName,SecondName,GovHospital,BasicPayment($),Experience(years)
1,AWrSh_KgsVYjT2BJAzaH,1,WELDY,NOAH,Southeast Alabama Medical Center,261.96,10
2,AWEKlA-LIxWefVJwxG9B,2,ETHERTON,NOAH,Marshall Medical Center South,731.94,16
3,AWrSfAcYsVYjT2BJAzPt,3,JOYA,NOEL,Eliza Coffee Memorial Hospital,14.62,5
4,AWrSa3NAQTFama1Xpkbz,4,SALIBA,OLIVIA,Mizell Memorial Hospital,957.5775,3
5,AWrSaVGzZ4Yw-wtdgcaB,5,SCHNUR,OMAR,Crenshaw Community Hospital,22.368,8
6,AWrSaQ5RZ4Yw-wtdgcZw,6,BELLES,PAIGE,St Vincent's East,48.86,9
7,AWrSaQ4EsVYjT2BJAy_I,7,MCGEORGE,PARKER,Dekalb Regional Medical Center,7.28,11
8,AWCvDUHSIxWefVJwvq4y,8,OLDEN,PATRICK,Shelby Baptist Medical Center,907.152,16
9,AWrSTT3sQTFama1Xpjyq,9,RARICK,PATRICK,Callahan Eye Hospital,18.504,37
10,AWkq412CIxWefVJwH_cO,10,WORRALL,PRESTON,Helen Keller Memorial Hospital,114.9,2
11,AWrSPNOdQTFama1XpjXy,11,DEGEN,PRINCE,Dale Medical Center,1706.184,25
12,AVzBAjq6LD2H7whiWJbG,12,FROMAN,QUINN,Floyd Cherokee Medical Center,911.424,12
13,AWkq2BZfa4HuVbedkesR,13,ODOWD,QUINN,Baptist Medical Center South,15.552,6
14,AWjXM4wGIxWefVJwF6ap,14,EINHORN,REAGAN,Jackson Hospital & Clinic Inc,407.976,20
15,AVweIzUXIN2L1WUf2UEf,15,FIMBRES,RIFKA,East Alabama Medical Center,68.81,1
16,AVwdablHIN2L1WUfvjUt,16,MARESCA,RILEY,Tanner Medical Center-east Alabama,2.544,1
17,AVwc98r4IN2L1WUfq1pA,17,ROCKER,RYDER,University Of Alabama Hospital,665.88,19
18,AWCBFJmM3-Khe5l_caCt,18,AREND,SADIE,Community Hospital Inc,55.5,3
19,AVwdJ4cCIN2L1WUfswrE,19,BIERMANN,SAVANNAH,Cullman Regional Medical Center,8.56,1
20,AVwdr5A9ByjofQCxrkFS,20,GUIMOND,SEBASTIAN,Andalusia Health,213.48,15
21,AV1tfF8hIxWefVJwg0HF,21,MCGURK,SHAINA,Stringfellow Memorial Hospital,22.72,1
22,AVwdQ7CMkufWRAb54Ewy,22,GOLL,SHARON,Huntsville Hospital,19.46,2
23,AVwc1sddIN2L1WUfpdLc,23,SANTILLI,SHIFRA,Gadsden Regional Medical Center,60.34,10
24,AVwddHLOByjofQCxpS-H,24,HADLOCK,SKYLA,Marion Regional Medical Center,71.372,16
25,AV4_VzQTRxPSIh2RgJQH,25,TEER,SOPHIA,Fayette Medical Center,1044.63,5
26,AWrROxTbcuP9ADUBCmQx,26,DILLION,SPENCER,Riverview Regional Medical Center,11.648,3
27,AVweXVJS_7pvs4fzCVoA,27,JORDEN,STELLA,Georgiana Medical Center,90.57,8
28,AVzBCGxg3D1zeR_xBFP-,28,HONORE,SUMMER,Medical Center Enterprise,3083.43,9
29,AWkq16muIxWefVJwH5qp,29,BROMBERG,SYED,Greene County Hospital,9.618,11
30,AVweEDnCByjofQCxu8zM,30,STONEMAN,TALIA,Lake Martin Community Hospital,124.2,16
31,AWkqy22X3-Khe5l_21mG,31,BLOSSOM,THEODORE,Flowers Hospital,3.264,37
